Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
Chambers of Devious Design,460,Very Positive,65,Redbeak Games,"Casual, Indie, Strategy",,"['WindowsXP', 'WindowsVista', 'Windows7', 'Windows8', 'Windows8', 'Windows10']", 1 GHz, 1 GB RAM," 256mb Video Memory, capable of OpenGL 2.0+ support",,, 500 MB available space
Black Reliquary,0,Very Positive,256,Team Reliquary ltd.,"Free to Play, Indie, RPG, Strategy",,['WindowsXP'],, 2 GB RAM, Open GL 3.2+ Compliant,,, 4 GB available space
The Cenozoic Era,0,Mostly Positive,76,"OpendixStudios, LLC","Action, Adventure, Indie, Massively Multiplayer, Simulation, Strategy, Early Access",,['Windows8'], Quad-core Intel, 4 GB RAM, DirectX 11 compatible graphics card with 2048MB Vram,,, 20 GB available space
Samurai Slaughter House,515,Mixed,38,Tab Games,"Action, Adventure, RPG, Early Access",,['Windows10']," Intel i5-4590, AMD Ryzen 3 PRO 2200GE, AMD Ryzen 5 2400GE, AMD FX 8350", 8 GB RAM," NVIDIA GTX 1050 Ti,AMD Radeon RX 470",,,
Shadow Empire: Oceania,385,Positive,26,VR Designs,"RPG, Simulation, Strategy",,"['Windows8', 'Windows10']", 1.5 GHZ, 2 GB RAM," 8MB video memory, 1280x768", Version 9.0,,
Graveyard Keeper - Better Save Soul,385,Mixed,234,Lazy Bear Games,"Adventure, Indie, RPG, Simulation",,['Windows7']," Intel core i5, 1.5 GHz and up",," 1 Gb dedicated video card, shader model 3.0+",,,
Mr. Prepper - Animal Farm DLC,385,Mixed,23,Rejected Games,"Action, Adventure, Casual, Indie, RPG, Simulation",,"['Windows8', 'Windows7', 'WindowsVista', 'WindowsXP']", 3.2 GHz Dual Core Processor, 4 GB RAM, nVidia GeForce 520M, Version 9.0c,, 5 GB available space
VTube Studio,0,Very Positive,111,DenchiSoft,"Indie, Animation & Modeling, Video Production",,['Windows7']," AMD , Intel CPU running at 1.8 GHz", 4 GB RAM," AMD,NVIDIA graphic card, with at least 2GB of dedicated VRAM and with at least DirectX 11", Version 11,, 3 GB available space
Immersion Pack - Europa Universalis IV: Origins,385,Mixed,510,Paradox Tinto,"Simulation, Strategy",,['Windows8']," Intel® Core™ i3-2105 , AMD® FX 4300", 1 GB RAM," Nvidia® GeForce™ GTX 460 , AMD® Radeon™ HD 5850",,,
Hold Your Own,360,Mixed,496,DistrictWare inc.,"Action, Adventure, Casual, Indie, Simulation, Early Access",,"['Windows7', 'Windows8', 'Windows10']", 3.2 GHz Dual Core Processor, 8 GB RAM," GeForce GTX 660, Radeon RX 460", Version 10,, 8 GB available space
Steel Division: Normandy 44,699,Very Positive,15,Eugen Systems,"Action, Simulation, Strategy",83,"['Windows10', 'Windows8', 'Windows7']", Intel Core i3-2100 (3.1 GHz), 3 GB RAM, 1 GB AMD 5570, Version 11, Broadband Internet connection, 32 GB available space
"Dude, Stop",360,Very Positive,42,Team HalfBeard,"Adventure, Casual, Indie",,['WindowsVista']," Intel Pentium 4 , AMD Athlon 64", 513 MB RAM, 256 MB, Version 9.0,, 257 MB available space
Arena Renovation,360,Very Positive,65,Nesalis Games,"Casual, Indie, Simulation, Sports, Strategy, Early Access",,['Windows10'], Intel Core i5, 8 GB RAM, GeForce GTX 1050,,, 11 GB available space
Evil West - Wild Wild East Skin Pack,119,Mostly Positive,28,Flying Wild Hog,Action,,,,,,,,
Root: The Underworld Expansion,385,Positive,15,Dire Wolf,"Indie, Simulation, Strategy",,"['Windows7', 'Windows8', 'Windows10']", Intel Pentium D, 2 GB RAM, Graphics card with DX11, Version 11, Broadband Internet connection, 1 GB available space
Dual Universe,360,Very Negative,11,Novaquark,"Massively Multiplayer, RPG, Simulation",,['Windows10']," Intel Core i5 6500 (3.2 GHz) , AMD Ryzen 5 2600 (3.4 GHz)", 8 GB RAM," NVIDIA GeForce GTX 1060 (3 GB) , AMD Radeon RX 580", Version 11, Broadband Internet connection, 40 GB available space
Overture Music Visualization,102,Mostly Positive,40,BATTLESQUATCH,Casual,,['Windows10'], Intel Core 2 Duo E8400, 8 GB RAM, NVIDIA GeForce 560,,, 13 GB available space
Westard,360,Mixed,54,SIEIDI Ltd,"Action, Indie, Early Access",,"['Windows7', 'Windows8', 'Windows10']", Intel i5-4590, 4 GB RAM, Nvidia GeForce GTX 970,, Broadband Internet connection, 2 GB available space
Dangerous Road,382,4 user reviews,,Abdulrahman Alshahrani,"Action, Adventure, Indie, Racing",,[], Ryzen 3 3100, 8 GB RAM, GTX 960, Version 10,, 15 GB available space
Alan Wake,360,Very Positive,150,Remedy Entertainment,"Action, Adventure",83,['WindowsXP'], Dual Core 2GHz Intel, 2 GB RAM, DirectX 10 compatible with 512MB RAM,,,
HammerHelm,360,Mostly Positive,277,SuperSixStudios,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",,['Windows7'], Intel Core i5-2300 (2.8 GHz), 8 GB RAM," GeForce GTX 470 , Radeon R9 M270X", Version 11,, 2 GB available space
Reassembly,360,Very Positive,19,Anisoptera Games,"Action, Indie, Strategy",,['Windows7'], 2 GHz Dual Core, 2 GB RAM, OpenGL 2.1,,, 150 MB available space
